gene_id,sample_001,sample_002
FSTL3,93,125
C1QTNF7,105,147
TMEM229B,101,106
PLCL1,90,122
NGFR,111,122
SH3YL1,99,106
UBASH3A,105,118
EFNA2,96,118
CNNM4,111,126
LIMS2,105,117
PARP1,93,120
ADA,101,119
MMP16,109,119
BMPER,104,118
NRXN1,107,127
OXCT1,104,115
RGL1,87,120
CLEC1A,106,126
AOAH,105,117
ZNF512B,93,127
LIMS1,81,140
UBTD1,108,119
KCNMA1,104,120
MYBBP1A,98,126
DGAT2,107,119
CPNE8,99,118
RAI1,98,125
JAG2,98,116
SSC5D,114,105
NEDD4L,109,91
FCER1A,93,109
TSHR,86,118
CDKN1A,104,126
DDX43,90,128
OSBPL10,112,128
HERC5,101,110
TTC22,102,132
AMT,104,142
QPCT,110,122
ALKBH7,105,102
MYO1B,89,131
GOLM1,91,115
ZNF275,114,147
SAT2,105,135
SMO,104,122
NAV2,110,134
FLRT3,100,103
TMED3,89,129
PKMYT1,108,115
BICD1,119,107
ANKRD29,107,135
PXK,103,111
NLGN1,94,110
FAM111B,108,117
SLC39A6,102,117
KRT19,92,124
LITAF,117,110
CHRM4,102,111
CEL,108,146
SRRM2,104,112
DNPH1,104,123
KCNK1,98,123
DHCR7,96,107
IGSF10,91,89
SH3RF3,113,125
CD276,107,119
SPOCK1,104,133
PALD1,95,91
CLDN4,106,120
TRERF1,97,120
FOXP2,86,120
CHRD,105,107
NFKBIE,88,131
MAP1A,108,135
GPT2,124,121
CBX5,88,100
NDE1,104,135
CEP170B,92,118
TBC1D4,95,155
KREMEN1,96,112
ARHGAP11A,108,129
LGALS3BP,112,116
ABCG1,94,122
OPLAH,104,115
LAG3,104,136
IL6R,92,115
ULK3,71,132
DBP,94,110
CLCN7,97,101
POU2F3,88,113
HSPA5,74,121
HOXA11-AS,104,132
NINJ1,103,121
AGTR1,89,101
CDCA8,107,114
FXYD6,84,119
KLHL29,99,124
KRT20,102,118
LTBP4,132,109
KAZALD1,94,112
IL5RA,91,124
TLE2,96,96
BNC2,95,117
BAG2,89,117
TMEM63A,91,110
SLC2A10,94,110
RASAL1,101,122
TRIM58,113,109
HGD,89,116
ECM2,100,127
PARVB,96,117
ASB13,106,110
TAF4B,95,116
DACT1,111,142
HMOX1,97,131
IGFLR1,100,116
MAP3K14,115,112
RBM47,107,113
LDB3,109,118
SLC46A3,110,117
TTC38,92,129
RASD1,111,110
NAP1L1,118,124
LGMN,119,114
CLSPN,121,126
KLHL13,121,125
HSD3B7,102,135
PSAP,105,134
HCFC1,94,137
DHRS1,105,128
PEG3,92,138
AMOTL2,90,120
ARSD,105,113
MAGEH1,92,103
HSH2D,75,121
TMEM204,110,116
TAPBP,99,111
PPM1K,91,99
SPATA20,110,110
SGTB,95,118
TMEM141,83,121
CGNL1,102,124
DBN1,94,122
GNL3,84,123
TMEM150C,104,120
FGL2,106,110
MYB,105,129
ALOX5AP,103,129
IGFBP6,89,124
TMPRSS2,86,102
KIF5C,118,128
LRIG1,102,112
ADORA2A,100,123
HECW2,102,121
PC,106,157
ZC3H12D,102,137
GAA,109,106
ZMAT1,95,122
GALNT14,105,121
MAP9,110,133
ATP11A,104,132
TDRP,109,120
PFKP,84,130
PDK1,90,115
FABP5,86,125
FAM3D,101,136
